Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
167,3,1.48105,1.45888,0,0,0,0,1.27504,0.18234,0.000779003,0.000513565,0.000115408,9.23147E-05,0,0,0.519373,0.0704368,0.000040431,1.70926E-05,2.19889E-06,9.25845E-07
167,4,1.60687,1.5065,0,0,0,0,0,1.32801,0.102752,0.0546371,0.012257,0.00884227,0,0,0,0.506626,0.00935795,0.00395616,0.000508942,0.000214291
167,5,1.57985,1.48661,0,0,0,0,0,0.000201605,0.748864,0.56562,0.102441,0.0694816,0,0,0,0,0,0,0,0
167,6,2.30301,1.84972,0,0,0,0,0,8.41885E-16,0.000949661,1.16737,0.433182,0.248216,0,0,0,0,0,0,0,0
167,7,3.37836,2.55843,0,0,0,0,0,0,8.87021E-10,0.0643141,1.38807,1.10605,0,0,0,0,0,0,0,0
167,8,4.19962,3.3737,0,0,0,0,0,0,9.26771E-11,0.00419544,0.270954,3.09856,0,0,0,0,0,0,0,0
168,1,0.393676,0.365975,0,1,0.272051,0.0923558,0.00154314,0.000025365,1.16132E-07,7.65612E-08,1.72048E-08,1.37621E-08,0.0943801,0.0390898,0.000102237,2.13258E-07,1.16272E-10,4.91549E-11,6.32355E-12,2.66255E-12
168,2,0.980331,0.971296,0,0,0,0.849801,0.119648,0.00182969,8.37713E-06,5.5227E-06,1.24106E-06,9.92721E-07,0,0.328195,0.0466326,0.000102574,5.59248E-08,2.36427E-08,3.04153E-09,1.28064E-09
168,3,1.46868,1.45541,0,0,0,0,1.27258,0.181337,0.000773324,0.000509821,0.000114566,9.16418E-05,0,0,0.517452,0.0697913,4.01181E-05,1.69603E-05,2.18187E-06,9.18679E-07
168,4,1.52654,1.47914,0,0,0,0,0,1.30586,0.100073,0.0528125,0.0118476,0.00854643,0,0,0,0.49118,0.00902761,0.00381651,0.000490976,0.000206727
168,5,1.49712,1.46004,0,0,0,0,0,0.000199479,0.741229,0.55235,0.099066,0.0671925,0,0,0,0,0,0,0,0
168,6,1.58503,1.5149,0,0,0,0,0,6.61745E-16,0.000775797,0.977408,0.343857,0.192862,0,0,0,0,0,0,0,0
168,7,1.74683,1.63613,0,0,0,0,0,0,5.33452E-10,0.0416764,0.92642,0.668029,0,0,0,0,0,0,0,0
168,8,2.38493,2.17046,1,0,0,0,0,0,5.65879E-11,0.00256329,0.171948,1.99595,0,0,0,0,0,0,0,0
169,1,0.393543,0.365833,0,1,0.27205,0.0922163,0.00154116,2.53325E-05,1.15983E-07,7.64631E-08,1.71827E-08,1.37444E-08,0.0943904,0.0390272,0.000102059,2.12887E-07,1.16069E-10,4.90695E-11,6.31256E-12,2.65792E-12
169,2,0.979951,0.97091,0,0,0,0.849679,0.119388,0.00182582,8.35943E-06,5.51103E-06,1.23843E-06,9.90623E-07,0,0.328136,0.0465182,0.000102319,5.57861E-08,2.35841E-08,3.03399E-09,1.27747E-09
169,3,1.46869,1.45542,0,0,0,0,1.27244,0.181483,0.000773913,0.000510209,0.000114654,9.17115E-05,0,0,0.517387,0.0698603,4.01586E-05,1.69774E-05,2.18407E-06,9.19608E-07
169,4,1.52632,1.47902,0,0,0,0,0,1.30413,0.101,0.0533084,0.0119587,0.00862012,0,0,0,0.489398,0.00899669,0.00380343,0.000489294,0.000206019
169,5,1.49714,1.46007,0,0,0,0,0,0.000198907,0.740299,0.55319,0.0991398,0.0672425,0,0,0,0,0,0,0,0
169,6,1.58623,1.51564,0,0,0,0,0,6.39595E-16,0.000749816,0.971985,0.348365,0.194535,0,0,0,0,0,0,0,0
169,7,1.74736,1.63653,0,0,0,0,0,0,5.28686E-10,0.0412098,0.925091,0.670224,0,0,0,0,0,0,0,0
169,8,2.38233,2.16815,1,0,0,0,0,0,5.66103E-11,0.00256432,0.172069,1.99351,0,0,0,0,0,0,0,0
170,1,0.393493,0.36578,0,1,0.27204,0.0921741,0.00154054,2.53222E-05,1.15936E-07,7.6432E-08,1.71757E-08,1.37389E-08,0.0943898,0.0390081,0.000102006,2.12776E-07,1.16009E-10,4.90439E-11,6.30927E-12,2.65653E-12
170,2,0.979937,0.970896,0,0,0,0.849663,0.11939,0.00182583,8.35948E-06,5.51106E-06,1.23844E-06,9.90629E-07,0,0.328127,0.0465199,0.000102324,5.57885E-08,2.35851E-08,3.03412E-09,1.27752E-09
170,3,1.46873,1.45545,0,0,0,0,1.27213,0.181823,0.000775302,0.000511125,0.00011486,9.18762E-05,0,0,0.517245,0.0700172,4.02502E-05,1.70162E-05,2.18905E-06,9.21706E-07
