Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
19,6,3.35894,2.40847,0,0,0,0,0,1.0226E-15,0.00106235,1.45101,0.610758,0.345642,0,0,0,0,0,0,0,0
19,7,3.56224,2.60129,0,0,0,0,0,0,8.04192E-10,0.0566698,1.37814,1.16648,0,0,0,0,0,0,0,0
19,8,4.32639,3.38484,0,0,0,0,0,0,9.02299E-11,0.00408429,0.261185,3.11957,0,0,0,0,0,0,0,0
20,1,0.55057,0.55056,0,0,0.360386,0.186939,0.00318178,5.22996E-05,2.39451E-07,1.5786E-07,3.54742E-08,2.83758E-08,0.167528,0.0846619,0.000218179,4.55106E-07,2.48131E-10,1.049E-10,1.34948E-11,5.68203E-12
20,2,1.56819,1.56816,0,0,0,1.29979,0.264242,0.00408987,1.87252E-05,1.23448E-05,2.77411E-06,2.21901E-06,0,0.609825,0.108874,0.000236908,1.29166E-07,5.46062E-08,7.02484E-09,2.95782E-09
20,3,2.35784,2.35767,0,0,0,0,1.98679,0.367814,0.00158945,0.00104786,0.000235474,0.000188356,0,0,0.932085,0.148679,8.44934E-05,3.57204E-05,4.59526E-06,1.93485E-06
20,4,2.39694,2.39517,0,0,0,0,0,2.06381,0.187984,0.103448,0.0232065,0.0167222,0,0,0,0.867637,0.0177419,0.00750053,0.000964909,0.000406277
20,5,2.42916,2.42313,0,0,0,0,0,0.000302067,1.13134,0.984358,0.183006,0.124125,0,0,0,0,0,0,0,0
20,6,2.4951,2.48485,0,0,0,0,0,1.04586E-15,0.00106389,1.4819,0.639532,0.36235,0,0,0,0,0,0,0,0
20,7,2.66807,2.65086,0,0,0,0,0,0,8.03733E-10,0.0558564,1.39565,1.19935,0,0,0,0,0,0,0,0
20,8,3.45342,3.41924,0,0,0,0,0,0,9.13336E-11,0.00413343,0.263574,3.15153,0,0,0,0,0,0,0,0
21,1,0.550199,0.550189,0,0,0.359852,0.187101,0.00318281,5.23166E-05,2.39529E-07,1.57911E-07,3.54857E-08,2.8385E-08,0.167279,0.0847402,0.000218451,4.55673E-07,2.4844E-10,1.0503E-10,1.35117E-11,5.68912E-12
21,2,1.57409,1.57407,0,0,0,1.30079,0.269077,0.00416246,1.90576E-05,1.25639E-05,2.82335E-06,2.25839E-06,0,0.610238,0.111164,0.00024195,1.31915E-07,5.57682E-08,7.17433E-09,3.02077E-09
21,3,2.35873,2.35855,0,0,0,0,1.97555,0.379845,0.00163981,0.00108106,0.000242935,0.000194323,0,0,0.92667,0.154495,0.000087836,3.71335E-05,4.77706E-06,2.01139E-06
21,4,2.39725,2.39543,0,0,0,0,0,2.04735,0.197821,0.108433,0.024324,0.017497,0,0,0,0.854477,0.0181934,0.00769144,0.000989467,0.000416618
21,5,2.4292,2.42316,0,0,0,0,0,0.000299746,1.12951,0.985928,0.183179,0.124243,0,0,0,0,0,0,0,0
21,6,2.49577,2.48548,0,0,0,0,0,1.02184E-15,0.00103945,1.47338,0.646248,0.364814,0,0,0,0,0,0,0,0
21,7,2.6691,2.65186,0,0,0,0,0,0,7.88641E-10,0.0545338,1.3915,1.20582,0,0,0,0,0,0,0,0
21,8,3.4546,3.42039,0,0,0,0,0,0,9.12054E-11,0.00412755,0.262996,3.15327,0,0,0,0,0,0,0,0
22,1,0.550921,0.550911,0,0,0.359397,0.18826,0.00319984,5.25966E-05,2.40811E-07,1.58757E-07,3.56756E-08,2.85369E-08,0.167014,0.0853349,0.000220087,4.59085E-07,2.503E-10,1.05817E-10,1.36128E-11,5.73172E-12
22,2,1.57941,1.57938,0,0,0,1.30185,0.273268,0.00422544,0.000019346,0.000012754,2.86607E-06,2.29257E-06,0,0.610697,0.113136,0.000246293,1.34282E-07,5.67692E-08,7.3031E-09,3.07498E-09
22,3,2.3592,2.35903,0,0,0,0,1.9697,0.386114,0.00166606,0.00109837,0.000246824,0.000197434,0,0,0.923859,0.15752,8.95742E-05,3.78684E-05,4.87159E-06,2.05119E-06
22,4,2.39742,2.39557,0,0,0,0,0,2.03808,0.203384,0.111226,0.0249503,0.0179302,0,0,0,0.847079,0.0184251,0.0077894,0.00100207,0.000421924
22,5,2.42922,2.42318,0,0,0,0,0,0.00029814,1.12828,0.986986,0.183297,0.124323,0,0,0,0,0,0,0,0
22,6,2.49634,2.48603,0,0,0,0,0,1.00265E-15,0.00101993,1.46609,0.652011,0.366906,0,0,0,0,0,0,0,0
22,7,2.6699,2.65263,0,0,0,0,0,0,7.76969E-10,0.0535111,1.38828,1.21083,0,0,0,0,0,0,0,0
22,8,3.45567,3.42144,0,0,0,0,0,0,9.11067E-11,0.00412303,0.262551,3.15477,0,0,0,0,0,0,0,0
23,1,0.552865,0.552855,0,0,0.358942,0.190623,0.00323584,5.31883E-05,2.4352E-07,1.60543E-07,3.6077E-08,2.8858E-08,0.166689,0.0865471,0.000223367,4.65928E-07,2.54031E-10,1.07394E-10,1.38158E-11,5.81716E-12
23,2,1.58492,1.58489,0,0,0,1.30306,0.277507,0.00428925,1.96381E-05,1.29466E-05,2.90934E-06,2.32719E-06,0,0.611234,0.115122,0.000250663,1.36665E-07,5.77765E-08,7.43268E-09,3.12955E-09
23,3,2.35952,2.35934,0,0,0,0,1.96591,0.390192,0.00168315,0.00110963,0.000249356,0.00019946,0,0,0.922041,0.159482,9.07011E-05,3.83448E-05,4.93288E-06,0.000002077
23,4,2.3975,2.39564,0,0,0,0,0,2.03324,0.206279,0.112685,0.0252773,0.0181566,0,0,0,0.843214,0.018551,0.00784263,0.00100892,0.000424807
23,5,2.42923,2.42319,0,0,0,0,0,0.000297361,1.12765,0.987529,0.183356,0.124363,0,0,0,0,0,0,0,0
23,6,2.49668,2.48635,0,0,0,0,0,9.91602E-16,0.00100869,1.46167,0.655506,0.368166,0,0,0,0,0,0,0,0
23,7,2.67035,2.65306,0,0,0,0,0,0,7.70453E-10,0.0529403,1.38648,1.21364,0,0,0,0,0,0,0,0
23,8,3.45639,3.42215,0,0,0,0,0,0,9.10474E-11,0.00412031,0.262284,3.15575,0,0,0,0,0,0,0,0
24,1,0.443129,0.438168,0,0,0.324847,0.111645,0.00164791,0.000027087,1.24016E-07,8.1759E-08,1.83728E-08,1.46964E-08,0.0974645,0.0399321,0.000114001,2.37799E-07,1.29651E-10,5.48114E-11,7.05123E-12,2.96894E-12
24,2,1.09883,1.07384,0,0,0,0.93095,0.140817,0.00205029,9.38715E-06,6.18856E-06,1.39069E-06,1.11241E-06,0,0.327102,0.0520468,0.000118555,6.46379E-08,2.73263E-08,3.51541E-09,1.48017E-09
24,3,1.73833,1.56563,0,0,0,0,1.36971,0.194352,0.000811452,0.000534957,0.000120215,9.61601E-05,0,0,0.538682,0.0724144,4.22741E-05,1.78718E-05,2.29913E-06,9.68052E-07
24,4,2.60249,1.95033,0,0,0,0,0,1.73004,0.125066,0.0686653,0.0154047,0.0111498,0,0,0,0.685601,0.0123787,0.00523321,0.000673228,0.000283464
24,5,3.22789,2.30373,0,0,0,0,0,0.000298438,1.09342,0.923854,0.170503,0.115646,0,0,0,0,0,0,0,0
24,6,3.35656,2.40639,0,0,0,0,0,1.08318E-15,0.0011253,1.47049,0.594992,0.33979,0,0,0,0,0,0,0,0
24,7,3.55765,2.59672,0,0,0,0,0,0,8.66651E-10,0.0622016,1.39524,1.13927,0,0,0,0,0,0,0,0
24,8,4.32073,3.379,0,0,0,0,0,0,9.08878E-11,0.00411449,0.26418,3.1107,0,0,0,0,0,0,0,0
25,1,0.554826,0.554816,0,0,0.360936,0.190585,0.00324069,0.000053268,2.43884E-07,1.60783E-07,3.6131E-08,2.89012E-08,0.167607,0.0865288,0.000223095,4.65359E-07,2.53721E-10,1.07263E-10,1.37989E-11,5.81005E-12
25,2,1.56581,1.56578,0,0,0,1.29968,0.262014,0.00405664,1.85731E-05,1.22445E-05,2.75157E-06,2.20098E-06,0,0.609813,0.107798,0.000234532,1.2787E-07,5.40583E-08,6.95436E-09,2.92815E-09
25,3,2.35685,2.35669,0,0,0,0,1.99983,0.353906,0.00153132,0.00100953,0.000226861,0.000181467,0,0,0.938394,0.141926,8.06107E-05,0.000034079,4.3841E-06,1.84594E-06
25,4,2.39638,2.39471,0,0,0,0,0,2.09402,0.169931,0.0942978,0.021155,0.0152991,0,0,0,0.891742,0.0168958,0.00714285,0.000918895,0.000386903
25,5,2.42907,2.42305,0,0,0,0,0,0.000308405,1.13639,0.980019,0.182528,0.123801,0,0,0,0,0,0,0,0
25,6,2.49293,2.48279,0,0,0,0,0,1.12367E-15,0.00114304,1.5094,0.617857,0.354388,0,0,0,0,0,0,0,0
25,7,2.66212,2.64511,0,0,0,0,0,0,8.90873E-10,0.0634939,1.41957,1.16204,0,0,0,0,0,0,0,0
25,8,3.44304,3.40907,0,0,0,0,0,0,9.23288E-11,0.00417907,0.268057,3.13683,0,0,0,0,0,0,0,0
26,1,0.549234,0.549224,0,0,0.361477,0.184547,0.00314693,5.17269E-05,2.36829E-07,1.56131E-07,3.50857E-08,2.80651E-08,0.168154,0.0834265,0.000214772,4.47998E-07,2.44255E-10,1.03261E-10,1.32841E-11,5.59329E-12
26,2,1.55622,1.55619,0,0,0,1.297,0.255205,0.00395361,1.81014E-05,1.19335E-05,2.68169E-06,2.14508E-06,0,0.60857,0.104651,0.000227623,1.24104E-07,5.2466E-08,6.74951E-09,2.8419E-09
